"week","ind","type","KLRG1","CD25","CCR8","Ki67","wkty","Dim.1","Dim.2","Dim.3","Dim.4"
"1",5,45,"cur",436,526,657,949,"cur_5",4.17581775600173,1.66983226657581,-2.54272484189756,-0.376147351737542
"2",5,56,"cur",423,470,455,829,"cur_5",2.29687546468788,0.84392361633917,-1.106297682877,0.342326655650179
"3",5,56,"cur",454,329,522,894,"cur_5",3.08845748606007,-0.479233991539903,-1.30385832048949,-0.509310612344176
"4",5,56,"cur",628,447,397,625,"cur_5",1.75739319435199,1.02692151813526,0.352483247768684,-0.410932579056195
"5",5,56,"cur",416,571,544,870,"cur_5",3.04489546186713,1.97151362954159,-1.8724519029431,0.319703305000755
"6",5,56,"cur",157,494,509,866,"cur_5",2.08967329075973,0.830312731125197,-2.77188070088694,0.647901518632984
"7",5,56,"cur",301,271,460,864,"cur_5",2.13679225480035,-1.32532657867944,-1.52671172613297,-0.187880062767664
"8",5,56,"cur",674,508,460,665,"cur_5",2.46124984966311,1.76465227200015,0.0575008865990222,-0.515939610503995
"9",5,56,"cur",464,605,503,864,"cur_5",2.85694815181878,2.28989368083437,-1.39385510253256,0.632534601761956
"10",5,57,"cur",0,522,530,261,"cur_5",-0.190323765259616,1.83709045309189,-3.49030098340414,-1.21495582945871
"11",5,45,"ina",542,404,431,259,"ina_5",0.560065453388768,1.09313288097978,-0.127081358166207,-1.94097648861208
"12",5,45,"ina",147,443,491,654,"ina_5",1.23470100954869,0.576069743996073,-2.57386653611563,-0.16056424226681
"13",5,45,"ina",478,401,546,823,"ina_5",3.0840924599442,0.419785688659699,-1.40699449158627,-0.658164005540912
"14",5,45,"ina",251,355,579,864,"ina_5",2.84998830481422,-0.296224067272076,-2.67345946597768,-0.551328886619162
"15",5,45,"ina",604,470,528,549,"ina_5",2.37969095679818,1.61219489906914,-0.66870535491035,-1.41142228909395
"16",5,45,"ina",174,311,559,770,"ina_5",2.19107596458232,-0.733081131952153,-2.82285247429303,-0.798476736666721
"17",5,45,"ina",0,413,499,925,"ina_5",1.79765853459901,-0.268584935483948,-3.38019416383959,0.843868691118004
"18",5,45,"ina",233,429,565,544,"ina_5",1.63391651225151,0.850857575582027,-2.63219918207201,-1.23308223761292
"19",5,45,"ina",198,597,449,828,"ina_5",1.63471515686852,1.83503357585931,-2.25372257385346,1.2716885665315
"20",5,45,"ina",63,488,643,951,"ina_5",3.08138097211097,0.818983193334954,-4.16690800696181,0.181277595648765
"21",5,45,"ina",141,508,470,873,"ina_5",1.78862056365285,0.859264214852326,-2.59301008601018,1.01548667478095
"22",5,45,"ina",389,388,548,399,"ina_5",1.45412637008722,0.797899266042458,-1.69006868891146,-2.04799304217413
"23",5,45,"ina",362,531,573,582,"ina_5",2.15615433174812,1.98292500016816,-2.19470012805539,-0.947068582995027
"24",5,45,"ina",147,355,565,807,"ina_5",2.28061511163536,-0.366320995800011,-3.04827317031401,-0.484632746796872
"25",5,45,"ina",260,318,564,715,"ina_5",2.27544002781019,-0.472495084486695,-2.44122362605039,-1.1350511475302
"26",5,45,"ina",238,402,472,598,"ina_5",1.16076332235028,0.314619094274665,-1.95324210157319,-0.546764017267653
"27",5,45,"ina",132,539,538,606,"ina_5",1.36487764993689,1.68390931059812,-3.05229198849064,-0.219722411436078
"28",5,45,"ina",44,429,483,869,"ina_5",1.61415650336997,-0.0103079675215512,-3.05962617924568,0.74964578466249
"29",5,56,"ina",53,381,505,767,"ina_5",1.46205821707088,-0.286135322336003,-3.08836533681351,0.0374650304359775
"30",5,56,"ina",202,465,484,868,"ina_5",2.04021670196635,0.538590916679294,-2.3574626162,0.627700189964183
"31",5,56,"ina",590,447,592,921,"ina_5",4.03699361833832,0.966663101629121,-1.27634626628589,-0.619433709774596
"32",5,56,"ina",57,526,358,361,"ina_5",-0.940883379603295,1.43962171657616,-2.06390916021608,0.198210910884104
"33",5,56,"ina",182,400,526,769,"ina_5",1.96504796225211,0.096634038182681,-2.64560967879203,-0.229343283089446
"34",5,56,"ina",190,482,487,732,"ina_5",1.5771322802644,0.895566928471506,-2.40797741829911,0.226118442726937
"35",5,56,"ina",600,368,500,869,"ina_5",3.23723431846279,0.0716320318523866,-0.493874285683114,-0.529374448784289
"36",5,56,"ina",189,366,616,640,"ina_5",2.20522924750633,0.139631904302691,-3.16122721288352,-1.42643862289177
"37",5,56,"ina",215,399,535,589,"ina_5",1.52170257932641,0.402738406468929,-2.49311101979656,-0.971451223013052
"38",5,56,"ina",144,525,495,439,"ina_5",0.535764664475205,1.70774797764646,-2.62893003235573,-0.589885304340562
"39",5,56,"ina",419,429,630,918,"ina_5",3.84129545285298,0.669669906912983,-2.32744171536676,-0.675256554776906
"40",5,56,"ina",0,482,594,935,"ina_5",2.5074184031568,0.605008426435075,-4.11261891012732,0.530684767742732
"41",5,56,"ina",717,429,472,762,"ina_5",2.99120104770203,0.912956312016824,0.225348284583029,-0.655461577165792
"42",5,56,"ina",155,515,561,441,"ina_5",1.04677613892475,1.75657790546021,-3.02577198939375,-1.08115824567718
"43",5,56,"ina",649,488,526,548,"ina_5",2.48162638600746,1.84206236545463,-0.460453957737404,-1.40155368722719
"44",5,56,"ina",140,293,596,926,"ina_5",2.88403981503653,-1.09896808799029,-3.27242963800467,-0.522030978982231
"45",5,56,"ina",236,440,618,734,"ina_5",2.65171192791754,0.80273447034314,-3.05866331315877,-0.88674400086318
"46",5,56,"ina",516,479,518,886,"ina_5",3.18780220174233,1.09372133608588,-1.13260934089699,0.00488629395364256
"47",5,56,"ina",104,364,523,926,"ina_5",2.25715162300877,-0.586098487839866,-3.00715842566244,0.314918686171203
"48",5,56,"ina",259,385,505,800,"ina_5",2.12543704104064,-0.0509092974783043,-2.13158373311767,-0.170678799849829
"49",5,56,"ina",207,361,469,474,"ina_5",0.647985375059014,0.0406222228659383,-1.99701604171013,-1.07429324940342
"50",5,56,"ina",34,631,565,927,"ina_5",2.35197230906482,2.08252687147821,-3.89886084291932,1.25310849748517
"51",5,56,"ina",328,612,538,859,"ina_5",2.72521080886222,2.28017631593037,-2.28366454091162,0.635029758797865
"52",5,56,"ina",44,357,441,333,"ina_5",-0.458881678652868,-0.0477292445125707,-2.52162839066175,-1.1249866164135
"53",5,56,"ina",111,341,383,726,"ina_5",0.609307906793417,-0.814200117690236,-1.91421824807181,0.446693349884796
"54",5,56,"ina",392,407,451,605,"ina_5",1.44712516408987,0.491802422036303,-1.08849972280538,-0.615669697073974
"55",5,56,"ina",156,473,408,429,"ina_5",-0.085641982668014,1.03472349910548,-1.91261914870287,-0.279687915998997
"56",5,56,"ina",150,414,517,330,"ina_5",0.357518347992431,0.809762022286188,-2.6059147461662,-1.58067328720903
"57",5,56,"ina",0,376,532,894,"ina_5",1.93486675911778,-0.524050300986358,-3.56186087843407,0.364679157702685
"58",5,56,"ina",281,481,446,509,"ina_5",0.788199686709697,1.22675721506682,-1.6209096472633,-0.427920169947257
"59",5,56,"ina",426,511,501,795,"ina_5",2.51920786137224,1.40193770210046,-1.44187489565098,0.0823617080643031
"60",5,56,"ina",252,367,505,841,"ina_5",2.24401885209162,-0.297614635665363,-2.15970271596017,-0.0911457278606518
"61",5,56,"ina",245,566,585,847,"ina_5",2.80336483126969,1.83924497805173,-2.95102249708566,0.228116376092239
"62",5,56,"ina",694,384,568,935,"ina_5",4.19603037496848,0.390038860390099,-0.560167031864959,-0.841712955887114
"63",5,56,"ina",194,303,442,465,"ina_5",0.393995583776134,-0.597223527465666,-1.80939094523919,-1.14322927192279
"64",5,56,"ina",225,535,523,736,"ina_5",1.93877745139338,1.53550040960407,-2.54765549480039,0.16108988570869
"65",5,56,"ina",93,588,552,836,"ina_5",2.11912902344952,1.82624463565851,-3.45744048476645,0.75012857267724
"66",5,56,"ina",168,321,484,477,"ina_5",0.663976081393627,-0.377296673884057,-2.24564346759967,-1.26410629953527
"67",5,56,"ina",596,538,392,582,"ina_5",1.48538620133857,1.9485193739231,0.158297642897206,-0.0995288091616838
"68",5,56,"ina",148,452,593,819,"ina_5",2.51626670548313,0.644359209146663,-3.33979828773247,-0.23169517803438
"69",5,56,"ina",42,494,491,833,"ina_5",1.54155743442738,0.704419466662888,-3.17858156524774,0.842479047746937
"70",5,56,"ina",350,683,530,849,"ina_5",2.68801001465921,3.01215325561748,-2.19284822347793,0.909585256689367
"71",5,56,"ina",349,461,489,713,"ina_5",1.95802522624285,0.9047776787761,-1.64463246877975,-0.201096666161438
"72",5,56,"ina",235,523,413,782,"ina_5",1.32924592821731,1.13063394530276,-1.73966234092797,0.986251044494025
"73",5,56,"ina",784,420,639,618,"ina_5",3.89401007251933,1.45925284481664,-0.562227087081969,-2.41248919239175
"74",5,56,"ina",153,378,458,397,"ina_5",0.166988172544855,0.234065618362152,-2.16754014065684,-1.10917443017609
"75",5,56,"ina",116,486,463,556,"ina_5",0.621755368439444,1.05051340064794,-2.53736238227261,-0.0860046668494747
"76",5,56,"ina",694,340,579,645,"ina_5",3.31701706606979,0.390235894819812,-0.498101531628467,-2.1010235225006
"77",5,57,"ina",220,391,484,811,"ina_5",1.90567763818772,-0.096842281476168,-2.17935511300431,0.0959782522232508
"78",5,57,"ina",143,587,330,316,"ina_5",-1.0647458359774,2.1554514860562,-1.5109789419778,0.338010820465298
"79",5,57,"ina",173,445,387,381,"ina_5",-0.347586199834089,0.800147430817496,-1.64282568211693,-0.449589325194715
"80",5,57,"ina",263,353,417,751,"ina_5",1.34437558762156,-0.479909872792422,-1.45362167863844,0.10648165588272
"81",5,57,"ina",12,276,508,846,"ina_5",1.64379362624979,-1.48929360769238,-3.22209718785455,-0.0733665892399167
"82",5,57,"ina",394,362,606,930,"ina_5",3.64692758659838,-0.0959622341101111,-2.21495098455252,-0.708658469168806
"83",5,57,"ina",566,446,383,392,"ina_5",0.717522310397593,1.24889998857844,0.233794705348321,-1.0274345287694
"84",5,57,"ina",126,326,413,495,"ina_5",0.10037099718252,-0.551736031970435,-1.96172201519674,-0.639832008400175
"85",5,57,"ina",217,311,400,795,"ina_5",1.24784174764084,-1.0520383653151,-1.52438536011327,0.27487457802324
"86",5,57,"ina",310,308,575,938,"ina_5",3.22921683206594,-0.810323271281448,-2.34395073671303,-0.558780038057513
"87",5,57,"ina",237,491,370,364,"ina_5",-0.357583131904761,1.32328332460941,-1.2639349743256,-0.311439413435674
"213",5,45,"rb",327,413,552,904,"rb_5",2.98849134883787,0.258004183499034,-2.1991492343691,-0.119483178775083
"214",5,45,"rb",413,306,503,779,"rb_5",2.46224697147175,-0.631890021540859,-1.30481932008719,-0.808700442281203
"215",5,45,"rb",687,603,446,908,"rb_5",3.1936967476244,2.34984584845847,0.0412892826823711,0.788937705451779
"216",5,56,"rb",157,373,420,744,"rb_5",1.05586541408923,-0.388857847370232,-1.99228701441253,0.319005978230598
"217",5,56,"rb",406,570,485,743,"rb_5",2.17326026438453,2.00817442808999,-1.46786650172213,0.284285974725761
"248",6,45,"cur",675,421,489,813,"cur_6",3.170034514494,0.746140972334218,-0.0991895971023643,-0.55558424205202
"249",6,45,"cur",671,485,492,839,"cur_6",3.26181116582858,1.34906234658028,-0.211950395113544,-0.21544584014119
"250",6,45,"cur",686,469,371,666,"cur_6",1.8608952331798,1.20136937036104,0.77099996947076,-0.10081463911244
"251",6,45,"cur",701,358,523,827,"cur_6",3.53571405137543,0.199371797151843,-0.153501789370178,-1.03525529965914
"252",6,45,"cur",657,402,470,818,"cur_6",3.00328485533278,0.488282257522391,-0.0346107021515432,-0.460469187407366
"253",6,45,"cur",668,377,494,825,"cur_6",3.2304826916003,0.292097155972085,-0.126358379583502,-0.716817264562624
"254",6,45,"cur",711,519,435,680,"cur_6",2.43011341337654,1.84400583791877,0.389574433046422,-0.313297675942712
"255",6,45,"cur",652,457,471,804,"cur_6",2.94610806466462,1.05342179182699,-0.116149638084025,-0.281054087132415
"256",6,45,"cur",594,662,503,757,"cur_6",2.84729684086187,3.16538717776931,-0.803658774094075,0.282373128669822
"257",6,56,"cur",678,512,511,858,"cur_6",3.47789138798743,1.63935169557517,-0.344264950142135,-0.17635749685074
"258",6,56,"cur",558,352,415,635,"cur_6",1.73921025156206,0.0198964794921467,-0.00988423310058164,-0.771785330772108
"259",6,56,"cur",719,457,385,707,"cur_6",2.18715407305069,1.09104292866683,0.828276697851062,-0.155518551592902
"260",6,56,"cur",642,393,394,744,"cur_6",2.17250543765673,0.327479194497615,0.45531212694643,-0.22383715151894
"261",6,56,"cur",644,425,472,804,"cur_6",2.93437208685976,0.726772112530124,-0.128498324258007,-0.40624028735396
"262",6,56,"cur",631,450,464,801,"cur_6",2.82995736248459,0.948444073164474,-0.158551076612074,-0.239149760948021
"263",6,56,"cur",623,531,440,789,"cur_6",2.58968800230752,1.71415675417398,-0.107598366706817,0.22540733489562
"264",6,56,"cur",530,649,423,736,"cur_6",2.03201399352427,2.82249006167616,-0.530193104587389,0.793460195160458
"265",6,56,"cur",635,384,451,778,"cur_6",2.67647804795106,0.300270053015233,0.0246775313621962,-0.510614935063445
"266",6,56,"cur",598,326,422,780,"cur_6",2.38002332447503,-0.385831838411986,0.10943527716932,-0.488634003188369
"267",6,57,"cur",587,415,371,715,"cur_6",1.76139457654647,0.475566653667321,0.342769457040182,0.00966960741344272
"268",6,57,"cur",651,464,467,826,"cur_6",2.98707006650813,1.08212795947159,-0.107298087550789,-0.147750037569021
"269",6,57,"cur",612,563,391,303,"cur_6",0.594098371591552,2.61513455394892,0.305865187490213,-0.9832585126259
"270",6,57,"cur",642,518,450,825,"cur_6",2.83305420358141,1.57613905610304,-0.0859485807811108,0.198899171638294
"271",6,57,"cur",527,304,356,688,"cur_6",1.41175292403936,-0.695507348397173,0.28480093775592,-0.342246765894561
"272",6,57,"cur",523,349,325,591,"cur_6",0.853064771258848,-0.17703176091244,0.467121562372244,-0.280466926242593
"273",6,57,"cur",524,383,333,640,"cur_6",1.07291103995541,0.109900226907548,0.366079332202342,-0.0255659602627764
"274",6,57,"cur",514,392,300,543,"cur_6",0.486650355380163,0.257869703316394,0.570349714419819,-0.0887736304855758
"275",6,57,"cur",559,622,332,616,"cur_6",1.06084351620864,2.56842950308653,0.304457111327019,0.823945228117398
"276",6,57,"cur",654,412,426,824,"cur_6",2.69831467821514,0.483572547772846,0.244643530541718,-0.100950291258774
"277",6,57,"cur",530,351,314,646,"cur_6",0.975113363636498,-0.250847111451536,0.556651406246817,-0.0199804482668535
"278",6,57,"cur",557,479,308,308,"cur_6",-0.126513355218064,1.53072847398295,0.70589022023184,-0.66912802583098
"279",6,57,"cur",572,547,390,732,"cur_6",1.90308972297126,1.79059396624636,0.00129194390678536,0.510167037030825
"280",6,57,"cur",528,423,327,602,"cur_6",0.91132361323403,0.555708177641825,0.398508269474208,0.0406825391826518
"281",6,57,"cur",692,517,451,802,"cur_6",2.89858715158386,1.66016669084575,0.151378451146854,0.0261450457891421
"282",6,57,"cur",705,493,445,827,"cur_6",2.97533040616091,1.38751598976194,0.270479181644991,0.0325266032851678
"283",6,57,"cur",608,385,452,801,"cur_6",2.68719360269699,0.247534422753426,-0.118063180443463,-0.389009068537844
"284",6,57,"cur",547,460,368,685,"cur_6",1.52907996579254,0.914252933605301,0.139220996217855,0.176672554250212
"285",6,57,"cur",554,464,350,690,"cur_6",1.4349042108701,0.917457833768312,0.291528889003325,0.318658122951141
"286",6,57,"cur",494,435,299,303,"cur_6",-0.373651593910006,1.00572780830837,0.517317164198582,-0.704019815845226
"287",6,57,"cur",615,415,430,803,"cur_6",2.55222586314229,0.506100050588604,0.036723225005486,-0.123811927754399
"288",6,57,"cur",599,374,396,761,"cur_6",2.12908636403614,0.0670271952696176,0.252317643148022,-0.185660492738822
"289",6,57,"cur",651,355,415,809,"cur_6",2.56615634955614,-0.0903203707841794,0.369292180388663,-0.30943185445503
"290",6,57,"cur",632,404,425,832,"cur_6",2.65911697489257,0.364245528376774,0.153319168282199,-0.06329721457082
"291",6,57,"cur",584,340,346,737,"cur_6",1.65285103584799,-0.360430531706765,0.57079606887344,-0.0515503457101615
"292",6,57,"cur",586,384,345,734,"cur_6",1.63751726793282,0.0832031572817686,0.543699616085958,0.122499050863128
"293",6,57,"cur",614,396,416,786,"cur_6",2.39417600903459,0.31033444542281,0.153895719351798,-0.166170579174154
"294",6,57,"cur",606,498,366,756,"cur_6",1.90579552559616,1.25686292066465,0.369962390079135,0.495349757400076
"295",6,57,"cur",619,367,392,792,"cur_6",2.25753652128751,-0.0321489904006696,0.371431461290708,-0.113339106746835
"296",6,57,"cur",620,423,434,784,"cur_6",2.53075154268829,0.627483997409059,0.0306128331747205,-0.191566619080263
"297",6,57,"cur",621,430,396,779,"cur_6",2.24340230601269,0.625929484909339,0.293674635895361,0.0709958720847215
"298",6,57,"cur",639,383,403,789,"cur_6",2.37909320207449,0.178467205787022,0.374202740982823,-0.163954761030892
"299",6,57,"cur",664,397,362,694,"cur_6",1.83578024321114,0.397899449623034,0.793374079838767,-0.204040086155815
"300",6,57,"cur",640,367,443,823,"cur_6",2.78307943353302,0.0551476065882935,0.106381293188069,-0.379643663752798
"301",6,57,"cur",552,338,318,624,"cur_6",0.991144885842363,-0.314688555483001,0.652898357127375,-0.212533958304873
"302",6,57,"cur",576,424,312,527,"cur_6",0.68398726875742,0.698379666261299,0.75230725754359,-0.194356457382126
"303",6,57,"cur",609,581,413,785,"cur_6",2.34078399053883,2.14567801448381,-0.0353969121416203,0.61993165361441
"304",6,57,"cur",574,408,379,756,"cur_6",1.92038623617735,0.348352762079897,0.219707201970988,0.0911417183193142
"305",6,57,"cur",636,389,399,788,"cur_6",2.33849096916667,0.227845839373439,0.382086101953956,-0.111187402675039
"306",6,57,"cur",556,546,346,675,"cur_6",1.35513911979802,1.75121385747024,0.250764925841112,0.627464021100355
"307",6,57,"cur",568,363,436,726,"cur_6",2.2177699051689,0.0549280373040406,-0.149107507987043,-0.56725121585693
"308",6,57,"cur",669,361,490,853,"cur_6",3.29859578139496,0.0850341568992317,-0.0867876198639078,-0.660668858552777
"309",6,57,"cur",679,403,396,787,"cur_6",2.42818972621472,0.413342767420516,0.591887555405066,-0.10783949979849
"310",6,57,"cur",626,508,409,811,"cur_6",2.44996232183859,1.39153634098246,0.137853378364208,0.408230462132188
"311",6,57,"cur",677,512,465,834,"cur_6",3.06527976309094,1.57606423488268,-0.0218713342992666,0.0480433820414574
"312",6,57,"cur",589,411,388,782,"cur_6",2.11134583054243,0.377537422831172,0.216514371008461,0.109058688228873
"313",6,57,"cur",599,456,350,662,"cur_6",1.46379372908573,0.930819751232716,0.520908296951858,0.114644284064246
"314",6,57,"cur",637,409,411,765,"cur_6",2.34946300241565,0.486796546629607,0.290750910822388,-0.190041445415531
"315",6,57,"cur",643,382,450,796,"cur_6",2.75067041180833,0.261805490201438,0.065534936390558,-0.462976159157376
"316",6,57,"cur",585,436,411,785,"cur_6",2.27366329166211,0.666268406061417,0.0117602250730381,0.0759616695480085
