"","ID","week","ind","type","KLRG1","CD25","CCR8","Ki67","type2"
"1","1",5,"45","cur",436,526,657,949,4
"2","2",5,"56","cur",423,470,455,829,4
"3","3",5,"56","cur",454,329,522,894,4
"4","4",5,"56","cur",628,447,397,625,4
"5","5",5,"56","cur",416,571,544,870,4
"6","6",5,"56","cur",157,494,509,866,4
"7","7",5,"56","cur",301,271,460,864,4
"8","8",5,"56","cur",674,508,460,665,4
"9","9",5,"56","cur",464,605,503,864,4
"10","10",5,"57","cur",0,522,530,261,4
"11","11",5,"dummy","cur",425,460,561,929,4
"12","12",5,"dummy","cur",351,557,420,924,4
"13","13",5,"dummy","cur",260,484,520,708,4
"14","14",5,"dummy","cur",393,411,474,635,4
"15","15",5,"dummy","cur",541,215,553,708,4
"16","16",5,"dummy","cur",227,483,351,566,4
"17","17",5,"dummy","cur",204,471,411,727,4
"18","18",5,"dummy","cur",461,640,413,515,4
"19","19",5,"dummy","cur",308,671,510,948,4
"20","20",5,"dummy","cur",475,585,411,638,4
"21","21",5,"dummy","cur",121,553,468,687,4
"22","22",5,"dummy","cur",294,461,461,851,4
"23","23",5,"dummy","cur",467,644,466,337,4
"24","24",5,"dummy","cur",546,569,375,659,4
"25","25",5,"dummy","cur",117,211,351,695,4
"26","26",5,"dummy","cur",338,545,517,760,4
"27","27",5,"dummy","cur",88,484,542,687,4
"28","28",5,"dummy","cur",319,309,519,786,4
"29","29",5,"dummy","cur",473,291,493,988,4
"30","30",5,"dummy","cur",447,728,458,785,4
"31","31",5,"dummy","cur",534,387,344,880,4
"32","32",5,"dummy","cur",761,445,511,987,4
"33","33",5,"dummy","cur",508,548,526,879,4
"34","34",5,"dummy","cur",498,519,429,495,4
"35","35",5,"dummy","cur",373,527,503,929,4
"36","36",5,"dummy","cur",322,333,624,578,4
"37","37",5,"dummy","cur",763,285,533,921,4
"38","38",5,"dummy","cur",235,388,513,1034,4
"39","39",5,"dummy","cur",647,450,397,604,4
"40","40",5,"dummy","cur",223,515,546,959,4
"41","41",5,"dummy","cur",732,506,443,766,4
"42","42",5,"dummy","cur",575,541,552,824,4
"43","43",5,"dummy","cur",599,586,585,1209,4
"44","44",5,"dummy","cur",224,550,433,973,4
"45","45",5,"dummy","cur",580,565,480,926,4
