"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population" "V1" "V2"
"T0" 46 "spl" "T0in" -1182.47495773113 -54.913925720973 -626.033131330036 "T046splT0in" 12.4498465745559 -0.968103777781134
"T0" 46 "spl" "T0in" -1013.45175773113 -8.74972572097295 -727.269131330036 "T046splT0in" 4.57396633316185 -8.09131599606574
"T0" 46 "spl" "T0in" -952.886757731126 10.9870742790271 -494.292131330036 "T046splT0in" -4.11486857246253 -8.46142269314826
"T0" 46 "spl" "T0in" -1005.62875773113 -15.352525720973 -827.548131330036 "T046splT0in" 6.54410345245507 -7.67858768643439
"T0" 46 "spl" "T0in" -951.774757731126 1.76457427902705 -281.854131330036 "T046splT0in" 2.64328438926842 -7.8961408251673
"T0" 46 "spl" "T0in" 1417.23324226887 51.160274279027 -886.579131330036 "T046splT0in" -2.47865860771034 5.20876859484612
"T0" 46 "spl" "T0in" -1128.01275773113 -58.9312257209729 -1460.15513133004 "T046splT0in" 13.1148102967849 -1.1863145941645
"T0" 46 "spl" "T0in" 3044.13324226887 4.53377427902705 -488.262131330036 "T046splT0in" -1.58145897697303 7.10507654009759
"T0" 46 "spl" "T0in" -972.549757731126 49.1744742790271 -734.216131330036 "T046splT0in" -8.50966708968971 -6.96302772702277
"T0" 46 "spl" "T0in" -996.873757731126 -28.958135720973 -1426.83513133004 "T046splT0in" 8.08303768325951 -7.20748592557014
"T0" 46 "spl" "T0in" -1055.99875773113 -16.180125720973 -1418.31513133004 "T046splT0in" 4.39391166855004 -9.15764690579475
"T0" 46 "spl" "T0in" -1046.20575773113 36.307074279027 -744.960131330036 "T046splT0in" -7.04815118621681 -8.00278068722785
"T0" 46 "spl" "T0in" -1050.53475773113 31.913474279027 -1346.74513133004 "T046splT0in" -7.29930799316261 -8.3696162814051
"T0" 46 "spl" "T0in" -868.465757731126 18.162274279027 2080.34486866996 "T046splT0in" -5.61526315521095 5.1019675618261
"T0" 46 "spl" "T0in" 3874.23324226887 30.2130742790271 -1047.99813133004 "T046splT0in" -2.11264400791023 7.43695424853265
"T0" 46 "spl" "T0in" -1163.74775773113 35.9403742790271 -1110.87413133004 "T046splT0in" -7.52679937194679 -8.16913486661018
"T0" 46 "spl" "T0in" -1021.77675773113 84.293674279027 -720.063131330036 "T046splT0in" -11.7467562467942 -3.99512602032722
"T0" 46 "spl" "T0in" -924.779757731126 108.813674279027 372.074868669964 "T046splT0in" -10.3311754972825 3.53517102061212
"T0" 46 "spl" "T0in" 4562.11324226887 -38.1102257209729 4413.95486866996 "T046splT0in" -3.82874791931007 9.7687475567907
"T0" 46 "spl" "T0in" -812.560757731126 105.436674279027 -632.833131330036 "T046splT0in" -11.9466006071458 -3.49882389248908
"T0" 46 "spl" "T0in" -1041.79475773113 -40.5792257209729 -817.012131330036 "T046splT0in" 11.426086732637 -2.99057794751227
"T0" 46 "spl" "T0in" -933.704757731126 9.35987427902705 -791.826131330036 "T046splT0in" 1.9576066224685 -8.76696468533576
"T0" 46 "spl" "T0in" -960.327757731126 -90.448525720973 -365.821131330036 "T046splT0in" 13.3448823182693 1.86031411944329
"T0" 46 "spl" "T0in" -1016.37575773113 -41.7857257209729 -1338.73513133004 "T046splT0in" 12.1497042863479 -2.97381664456428
"T0" 46 "spl" "T0in" -1141.34675773113 105.666674279027 -1048.07613133004 "T046splT0in" -11.9095665724168 -3.42056680859626
"T0" 46 "spl" "T0in" -776.652757731126 -32.775465720973 -153.336331330036 "T046splT0in" 5.26639778305199 0.982532907113428
"T0" 46 "spl" "T0in" -1126.62075773113 75.704674279027 60.8998686699637 "T046splT0in" -10.8743359358201 -4.69460464657844
"T0" 46 "spl" "T0in" -1013.26375773113 -28.781425720973 -450.939131330036 "T046splT0in" 7.92322761703637 -6.04814411343635
"T0" 46 "spl" "T0in" -962.122757731126 -83.097225720973 -814.994131330036 "T046splT0in" 13.4428761689773 1.38219152747094
"T0" 46 "spl" "T0in" -863.948757731126 -32.1043157209729 -1747.87513133004 "T046splT0in" 8.26220638443139 -7.15303207577765
"T0" 46 "spl" "T0in" -1150.22675773113 -73.8490257209729 -768.297131330036 "T046splT0in" 13.3269589631667 0.752494443044061
