"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population" "V1" "V2" "V3" "cluster"
"T0" 46 "spl" "T0in" -1182.47495773113 -54.913925720973 -626.033131330036 "T046splT0in" 8.98571590772491 -2.9027091209532 4.16084140886007 1
"T0" 46 "spl" "T0in" -1013.45175773113 -8.74972572097295 -727.269131330036 "T046splT0in" 3.29085020414215 -8.13838850899947 1.24240726579366 1
"T0" 46 "spl" "T0in" -952.886757731126 10.9870742790271 -494.292131330036 "T046splT0in" -0.0848846484847715 -8.6921595279814 0.69353127826391 1
"T0" 46 "spl" "T0in" -1005.62875773113 -15.352525720973 -827.548131330036 "T046splT0in" 4.52810959211212 -7.57339274331343 1.85599941362081 1
"T0" 46 "spl" "T0in" -951.774757731126 1.76457427902705 -281.854131330036 "T046splT0in" 1.78248850694519 -8.45683180733931 0.37910536278425 1
"T0" 46 "spl" "T0in" 1417.23324226887 51.160274279027 -886.579131330036 "T046splT0in" -3.30696006425995 3.87074721411455 -0.837396439421789 2
"T0" 46 "spl" "T0in" -1128.01275773113 -58.9312257209729 -1460.15513133004 "T046splT0in" 8.23290256849151 -2.9116362278105 4.34787458528219 1
"T0" 46 "spl" "T0in" 3044.13324226887 4.53377427902705 -488.262131330036 "T046splT0in" -2.31735916742462 5.74183667258012 -0.199795540679113 2
"T0" 46 "spl" "T0in" -972.549757731126 49.1744742790271 -734.216131330036 "T046splT0in" -4.97052426942963 -7.11707865639937 2.44334322560964 1
"T0" 46 "spl" "T0in" -996.873757731126 -28.958135720973 -1426.83513133004 "T046splT0in" 5.69926742902618 -6.53007447167647 2.63308614839254 1
"T0" 46 "spl" "T0in" -1055.99875773113 -16.180125720973 -1418.31513133004 "T046splT0in" 3.09814576497894 -8.13521563454878 2.23247975457845 1
"T0" 46 "spl" "T0in" -1046.20575773113 36.307074279027 -744.960131330036 "T046splT0in" -3.64331026682038 -8.05283152505171 1.96042126763998 1
"T0" 46 "spl" "T0in" -1050.53475773113 31.913474279027 -1346.74513133004 "T046splT0in" -3.24812288889069 -8.14681994363081 2.3755182658547 1
"T0" 46 "spl" "T0in" -868.465757731126 18.162274279027 2080.34486866996 "T046splT0in" -2.49198098787445 3.40549123839128 2.83405179132162 2
"T0" 46 "spl" "T0in" 3874.23324226887 30.2130742790271 -1047.99813133004 "T046splT0in" -2.75461145052094 5.93214238241899 -0.0108011330253047 2
"T0" 46 "spl" "T0in" -1163.74775773113 35.9403742790271 -1110.87413133004 "T046splT0in" -3.68475957521576 -7.98292433663618 2.41594738115011 1
"T0" 46 "spl" "T0in" -1021.77675773113 84.293674279027 -720.063131330036 "T046splT0in" -6.63043685564179 -4.61493718072188 3.84638613809286 1
"T0" 46 "spl" "T0in" -924.779757731126 108.813674279027 372.074868669964 "T046splT0in" -6.82294555315155 -3.47483908578169 4.00683421243368 1
"T0" 46 "spl" "T0in" 4562.11324226887 -38.1102257209729 4413.95486866996 "T046splT0in" -2.15253492006439 7.17441332892168 2.8194765483254 2
"T0" 46 "spl" "T0in" -812.560757731126 105.436674279027 -632.833131330036 "T046splT0in" -6.86347480425019 -4.03735482140791 3.90203851808248 1
"T0" 46 "spl" "T0in" -1041.79475773113 -40.5792257209729 -817.012131330036 "T046splT0in" 8.05770592084747 -4.72995411797774 3.0765304004067 1
"T0" 46 "spl" "T0in" -933.704757731126 9.35987427902705 -791.826131330036 "T046splT0in" 0.312320572050626 -8.78237616463911 1.0349508856648 1
"T0" 46 "spl" "T0in" -960.327757731126 -90.448525720973 -365.821131330036 "T046splT0in" 9.0241556583963 -0.543818825924514 5.41721314538656 1
"T0" 46 "spl" "T0in" -1016.37575773113 -41.7857257209729 -1338.73513133004 "T046splT0in" 7.61035065046173 -4.42841278954756 3.58603877175985 1
"T0" 46 "spl" "T0in" -1141.34675773113 105.666674279027 -1048.07613133004 "T046splT0in" -6.9224562228598 -4.02529847069991 3.8803851043099 1
"T0" 46 "spl" "T0in" -776.652757731126 -32.775465720973 -153.336331330036 "T046splT0in" 5.14945129743438 1.81052208498705 -4.28637629400553 2
"T0" 46 "spl" "T0in" -1126.62075773113 75.704674279027 60.8998686699637 "T046splT0in" -6.36048884996552 -5.09323632165205 3.38834637750326 1
"T0" 46 "spl" "T0in" -1013.26375773113 -28.781425720973 -450.939131330036 "T046splT0in" 6.39626316419464 -6.63542544289839 1.75239056695638 1
"T0" 46 "spl" "T0in" -962.122757731126 -83.097225720973 -814.994131330036 "T046splT0in" 8.80941490522247 -0.837151641094802 5.31737965692221 1
"T0" 46 "spl" "T0in" -863.948757731126 -32.1043157209729 -1747.87513133004 "T046splT0in" 5.81492285123687 -6.35186612054121 2.75406116594015 1
"T0" 46 "spl" "T0in" -1150.22675773113 -73.8490257209729 -768.297131330036 "T046splT0in" 8.81086544385772 -1.39163219376814 5.01543492425619 1
"T0" 46 "spl" "T0in" -1015.21475773113 -31.047255720973 -826.412131330036 "T046splT0in" 5.97475342145782 -6.8079723064543 1.94150501836477 1
"T0" 46 "spl" "T0in" -1025.27075773113 -46.2545257209729 -957.266131330036 "T046splT0in" 8.14013485303741 -4.20246827050459 3.52394336808859 1
"T0" 46 "spl" "T0in" -1118.11875773113 -13.909125720973 -728.568131330036 "T046splT0in" 3.96595959058624 -7.8802584354521 1.38424533952413 1
"T0" 46 "spl" "T0in" -520.186757731126 81.029674279027 -1745.89513133004 "T046splT0in" -7.71075244554657 -0.658380502903579 0.0987651084774571 2
"T0" 46 "spl" "T0in" -1134.63275773113 36.326574279027 175.363868669964 "T046splT0in" -3.78048678049225 -7.76412379189741 0.875675264489039 1
"T0" 46 "spl" "T0in" -998.138757731126 6.54687427902705 -647.404131330036 "T046splT0in" 0.612445992144162 -8.72513472481978 0.821256998669489 1
"T0" 46 "spl" "T0in" -1010.43775773113 39.3961742790271 -1157.36513133004 "T046splT0in" -3.96805782922882 -7.82679068490279 2.53851133931814 1
"T0" 46 "spl" "T0in" -975.859757731126 -2.67882572097295 -307.223131330036 "T046splT0in" 1.99584750524383 -8.40577971383345 0.383219960820063 1
"T0" 46 "spl" "T0in" -929.147757731126 -45.003925720973 -454.909131330036 "T046splT0in" 8.89026741376739 -4.00057780190718 3.30873340715109 1
"T0" 46 "spl" "T0in" 11969.2632422689 -48.976525720973 -608.905131330036 "T046splT0in" -2.24701734193939 9.2756081874727 2.71316713441549 2
