"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population"
"T0" 46 "spl" "T0in" -1182.47495773113 -54.913925720973 -626.033131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1013.45175773113 -8.74972572097295 -727.269131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -952.886757731126 10.9870742790271 -494.292131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1005.62875773113 -15.352525720973 -827.548131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -951.774757731126 1.76457427902705 -281.854131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1417.23324226887 51.160274279027 -886.579131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1128.01275773113 -58.9312257209729 -1460.15513133004 "T046splT0in"
"T0" 46 "spl" "T0in" 3044.13324226887 4.53377427902705 -488.262131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -972.549757731126 49.1744742790271 -734.216131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -996.873757731126 -28.958135720973 -1426.83513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1055.99875773113 -16.180125720973 -1418.31513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1046.20575773113 36.307074279027 -744.960131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1050.53475773113 31.913474279027 -1346.74513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -868.465757731126 18.162274279027 2080.34486866996 "T046splT0in"
"T0" 46 "spl" "T0in" 3874.23324226887 30.2130742790271 -1047.99813133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1163.74775773113 35.9403742790271 -1110.87413133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1021.77675773113 84.293674279027 -720.063131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -924.779757731126 108.813674279027 372.074868669964 "T046splT0in"
"T0" 46 "spl" "T0in" 4562.11324226887 -38.1102257209729 4413.95486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -812.560757731126 105.436674279027 -632.833131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1041.79475773113 -40.5792257209729 -817.012131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -933.704757731126 9.35987427902705 -791.826131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -960.327757731126 -90.448525720973 -365.821131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1016.37575773113 -41.7857257209729 -1338.73513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1141.34675773113 105.666674279027 -1048.07613133004 "T046splT0in"
"T0" 46 "spl" "T0in" -776.652757731126 -32.775465720973 -153.336331330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1126.62075773113 75.704674279027 60.8998686699637 "T046splT0in"
"T0" 46 "spl" "T0in" -1013.26375773113 -28.781425720973 -450.939131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -962.122757731126 -83.097225720973 -814.994131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -863.948757731126 -32.1043157209729 -1747.87513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1150.22675773113 -73.8490257209729 -768.297131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1015.21475773113 -31.047255720973 -826.412131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1025.27075773113 -46.2545257209729 -957.266131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1118.11875773113 -13.909125720973 -728.568131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -520.186757731126 81.029674279027 -1745.89513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1134.63275773113 36.326574279027 175.363868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -998.138757731126 6.54687427902705 -647.404131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1010.43775773113 39.3961742790271 -1157.36513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -975.859757731126 -2.67882572097295 -307.223131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -929.147757731126 -45.003925720973 -454.909131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 11969.2632422689 -48.976525720973 -608.905131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 2140.75324226887 -42.2604257209729 -2097.69513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1008.04975773113 -13.793025720973 1033.88486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1015.42775773113 -82.582125720973 -223.344831330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1072.04575773113 76.508674279027 -1430.02513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1071.90975773113 -46.433925720973 -1158.70513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -151.616757731126 39.997974279027 -930.475131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -233.706757731126 18.601874279027 5108.05486866996 "T046splT0in"
"T0" 46 "spl" "T0in" 1043.30324226887 -7.20112572097295 1283.36486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1166.02575773113 47.9312742790271 -446.583131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1104.13675773113 9.00437427902705 -308.475131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -924.574757731126 -6.23722572097295 -982.132131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1659.40324226887 -46.4161257209729 -903.753131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1099.79875773113 35.519274279027 -579.219131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1144.48975773113 1.85247427902705 -681.737131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -862.309757731126 37.7536742790271 -862.923131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 9289.66324226887 -35.922715720973 1156.75486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -973.394757731126 31.9825742790271 -462.431131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -680.216757731126 -51.429425720973 905.864868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -862.352757731126 114.234674279027 -1127.17113133004 "T046splT0in"
"T0" 46 "spl" "T0in" -918.761757731126 -26.870080720973 -1158.75513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -979.013757731126 -47.1825257209729 -945.559131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -718.769757731126 14.844674279027 -722.604131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -951.065757731126 -55.946425720973 -1044.23913133004 "T046splT0in"
"T0" 46 "spl" "T0in" 501.393242268874 45.823774279027 10257.56486867 "T046splT0in"
"T0" 46 "spl" "T0in" -917.731757731126 -17.7829757209729 -897.408131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -928.791757731126 34.4189742790271 191.053868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -932.331757731126 -118.533225720973 -758.072131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1290.52324226887 -33.0469857209729 -571.112131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1060.66375773113 -44.754625720973 -666.622131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -969.321757731126 24.533674279027 -576.703131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1016.84175773113 -27.996698720973 -849.935131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -942.087757731126 59.104074279027 -214.256531330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1065.08675773113 -50.5721257209729 -733.291131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1012.07075773113 35.781374279027 -944.127131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1051.22975773113 -26.7141517209729 -467.023131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1379.48324226887 -24.877315720973 -976.070131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -930.997757731126 30.1940742790271 -403.259131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1051.82675773113 -77.8498257209729 -1057.03213133004 "T046splT0in"
"T0" 46 "spl" "T0in" -770.133757731126 22.888974279027 276.969868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -967.860757731126 52.181174279027 -1106.01013133004 "T046splT0in"
"T0" 46 "spl" "T0in" -963.488757731126 -37.706825720973 -1495.72513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -947.591757731126 -4.28942572097295 -1226.83513133004 "T046splT0in"
"T0" 46 "spl" "T0in" 4724.23324226887 -42.5327257209729 330.017868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -1059.93375773113 34.407574279027 -1066.32713133004 "T046splT0in"
"T0" 46 "spl" "T0in" 1159.66324226887 -18.308065720973 10926.66486867 "T046splT0in"
"T0" 46 "spl" "T0in" -720.556757731126 157.129674279027 415.915868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -482.150757731126 35.6736742790271 -46.3983313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -516.523757731126 51.221474279027 -518.389131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1119.26275773113 -13.718725720973 -306.102131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1053.43075773113 -38.315125720973 -1300.72513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1127.58475773113 -64.898025720973 -582.453131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -968.243757731126 8.41437427902705 -269.440131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -765.973757731126 4.24587427902705 1843.20486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1050.47375773113 -42.332325720973 -153.619601330036 "T046splT0in"
"T0" 46 "spl" "T0in" -762.041757731126 -55.6671257209729 -99.6630313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -946.283757731126 62.837274279027 -1207.54513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -984.828757731126 -29.2547257209729 -642.719131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -995.239757731126 41.860774279027 -468.205131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -921.599757731126 21.955474279027 -409.522131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1076.55975773113 -76.3015257209729 -294.177131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1130.07675773113 -32.431805720973 -650.434131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -973.448757731126 -7.19532572097295 -1365.68513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1019.56275773113 -4.27002572097295 -531.196131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 3686.31324226887 -52.209825720973 -1983.99513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1086.56175773113 40.104974279027 -860.154131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 272.663242268874 23.8870742790271 -272.176131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -567.204757731126 -55.1406257209729 -635.376131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -997.111757731126 -84.2749257209729 -288.586131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -976.390757731126 -27.841825720973 -73.0429313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -878.773757731126 -33.9730957209729 -910.190131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1099.70475773113 -21.665395720973 -1023.70013133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1061.00275773113 -57.6024257209729 -1009.14913133004 "T046splT0in"
"T0" 46 "spl" "T0in" -992.297757731126 29.580874279027 -220.009831330036 "T046splT0in"
"T0" 46 "spl" "T0in" -943.342757731126 112.348674279027 -1044.47613133004 "T046splT0in"
"T0" 46 "spl" "T0in" 4577.35324226887 -49.915925720973 -878.212131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1036.99175773113 6.41997427902705 -698.760131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -946.861757731126 27.172374279027 -1203.20513133004 "T046splT0in"
