"ID","week","ind","type","KLRG1","CD25","CCR8","Ki67","type2"
"1",5,"45","cur",436,526,657,949,4
"2",5,"56","cur",423,470,455,829,4
"3",5,"56","cur",454,329,522,894,4
"4",5,"56","cur",628,447,397,625,4
"5",5,"56","cur",416,571,544,870,4
"6",5,"56","cur",157,494,509,866,4
"7",5,"56","cur",301,271,460,864,4
"8",5,"56","cur",674,508,460,665,4
"9",5,"56","cur",464,605,503,864,4
"10",5,"57","cur",0,522,530,261,4
"11",5,"dummy","cur",262,410,504,920,4
"12",5,"dummy","cur",537,534,451,574,4
"13",5,"dummy","cur",499,545,580,690,4
"14",5,"dummy","cur",397,450,796,923,4
"15",5,"dummy","cur",301,509,538,723,4
"16",5,"dummy","cur",636,441,567,685,4
"17",5,"dummy","cur",333,503,495,871,4
"18",5,"dummy","cur",162,624,489,1037,4
"19",5,"dummy","cur",571,447,448,1100,4
"20",5,"dummy","cur",489,432,694,531,4
"21",5,"dummy","cur",373,448,479,672,4
"22",5,"dummy","cur",227,386,418,1059,4
"23",5,"dummy","cur",849,629,551,861,4
"24",5,"dummy","cur",174,492,580,898,4
"25",5,"dummy","cur",756,471,526,949,4
"26",5,"dummy","cur",139,495,497,705,4
"27",5,"dummy","cur",85,585,449,1165,4
"28",5,"dummy","cur",363,413,395,850,4
"29",5,"dummy","cur",461,552,541,668,4
"30",5,"dummy","cur",394,603,569,743,4
"31",5,"dummy","cur",360,402,572,844,4
"32",5,"dummy","cur",179,654,563,798,4
"33",5,"dummy","cur",590,406,664,864,4
"34",5,"dummy","cur",599,451,554,553,4
"35",5,"dummy","cur",235,429,499,809,4
"36",5,"dummy","cur",221,578,484,707,4
"37",5,"dummy","cur",330,440,619,391,4
"38",5,"dummy","cur",479,354,498,974,4
"39",5,"dummy","cur",426,369,526,605,4
"40",5,"dummy","cur",256,505,533,896,4
"41",5,"dummy","cur",176,572,481,688,4
"42",5,"dummy","cur",324,553,506,877,4
"43",5,"dummy","cur",309,386,319,566,4
"44",5,"dummy","cur",265,442,543,607,4
"45",5,"dummy","cur",241,450,592,858,4
"46",5,"dummy","cur",358,469,495,413,4
"47",5,"dummy","cur",512,442,507,883,4
"48",5,"dummy","cur",707,613,570,1004,4
"49",5,"dummy","cur",335,590,337,752,4
"50",5,"dummy","cur",636,510,565,1000,4
"51",5,"dummy","cur",748,417,416,769,4
"52",5,"dummy","cur",712,459,404,880,4
"53",5,"dummy","cur",950,512,477,874,4
"54",5,"dummy","cur",719,453,445,781,4
"55",5,"dummy","cur",388,491,543,773,4
"56",5,"dummy","cur",333,650,472,806,4
"57",5,"dummy","cur",478,401,468,895,4
"58",5,"dummy","cur",466,331,534,890,4
"59",5,"dummy","cur",355,513,584,583,4
"60",5,"dummy","cur",572,501,478,653,4
"61",5,"dummy","cur",307,456,497,565,4
"62",5,"dummy","cur",-66,483,537,723,4
"63",5,"dummy","cur",758,364,491,848,4
"64",5,"dummy","cur",154,286,587,916,4
"65",5,"dummy","cur",567,453,596,906,4
"66",5,"dummy","cur",528,545,442,910,4
"67",5,"dummy","cur",550,572,552,420,4
"68",5,"dummy","cur",220,345,483,278,4
"69",5,"dummy","cur",691,444,535,972,4
"70",5,"dummy","cur",531,420,485,497,4
"71",5,"dummy","cur",654,250,456,623,4
"72",5,"dummy","cur",847,442,497,1116,4
"73",5,"dummy","cur",234,676,464,605,4
"74",5,"dummy","cur",525,478,486,405,4
"75",5,"dummy","cur",428,421,628,998,4
"76",5,"dummy","cur",505,568,403,767,4
"77",5,"dummy","cur",344,536,559,877,4
"78",5,"dummy","cur",572,480,393,762,4
"79",5,"dummy","cur",618,432,457,751,4
"80",5,"dummy","cur",152,506,499,687,4
"81",5,"dummy","cur",388,566,462,839,4
"82",5,"dummy","cur",535,323,328,867,4
"83",5,"dummy","cur",1029,288,523,843,4
"84",5,"dummy","cur",570,537,489,871,4
"85",5,"dummy","cur",684,564,386,727,4
"86",5,"dummy","cur",230,422,615,865,4
"87",5,"dummy","cur",245,564,498,622,4
"88",5,"dummy","cur",204,454,587,1008,4
"89",5,"dummy","cur",429,464,447,916,4
"90",5,"dummy","cur",299,572,478,1004,4
"91",5,"dummy","cur",352,560,573,741,4
"92",5,"dummy","cur",39,494,510,865,4
"93",5,"dummy","cur",762,624,593,767,4
"94",5,"dummy","cur",454,418,470,935,4
"95",5,"dummy","cur",338,672,552,498,4
"96",5,"dummy","cur",587,394,468,543,4
"97",5,"dummy","cur",110,438,388,782,4
"98",5,"dummy","cur",431,411,553,673,4
"99",5,"dummy","cur",858,303,531,895,4
"100",5,"dummy","cur",547,460,511,991,4
"101",5,"dummy","cur",181,443,402,958,4
"102",5,"dummy","cur",507,350,518,961,4
"103",5,"dummy","cur",370,377,540,564,4
"104",5,"dummy","cur",243,695,449,774,4
"105",5,"dummy","cur",157,529,424,478,4
"106",5,"dummy","cur",769,514,491,802,4
"107",5,"dummy","cur",501,466,444,885,4
"108",5,"dummy","cur",620,486,552,600,4
"109",5,"dummy","cur",578,522,469,828,4
"110",5,"dummy","cur",117,333,510,388,4
"111",5,"dummy","cur",266,571,365,618,4
"112",5,"dummy","cur",43,488,470,505,4
"113",5,"dummy","cur",358,482,598,731,4
"114",5,"dummy","cur",280,532,584,626,4
"115",5,"dummy","cur",284,360,446,848,4
"116",5,"dummy","cur",323,543,489,871,4
"117",5,"dummy","cur",400,446,539,634,4
"118",5,"dummy","cur",379,591,422,697,4
"119",5,"dummy","cur",515,659,541,708,4
"120",5,"dummy","cur",447,571,598,793,4
"121",5,"dummy","cur",473,533,425,803,4
"122",5,"dummy","cur",464,511,429,777,4
"123",5,"dummy","cur",761,473,414,933,4
"124",5,"dummy","cur",318,237,424,635,4
"125",5,"dummy","cur",471,500,585,937,4
"126",5,"dummy","cur",459,540,418,975,4
"127",5,"dummy","cur",327,374,352,941,4
"128",5,"dummy","cur",35,537,570,700,4
"129",5,"dummy","cur",502,446,517,790,4
"130",5,"dummy","cur",527,509,665,974,4
"131",5,"dummy","cur",287,503,599,852,4
"132",5,"dummy","cur",428,376,498,521,4
"133",5,"dummy","cur",46,611,455,1097,4
"134",5,"dummy","cur",57,547,588,988,4
"135",5,"dummy","cur",544,586,630,612,4
"136",5,"dummy","cur",467,470,583,888,4
"137",5,"dummy","cur",823,488,457,1096,4
"138",5,"dummy","cur",336,577,457,1180,4
"139",5,"dummy","cur",392,439,513,965,4
"140",5,"dummy","cur",717,477,498,669,4
"141",5,"dummy","cur",601,543,483,611,4
"142",5,"dummy","cur",615,601,509,355,4
"143",5,"dummy","cur",782,407,574,821,4
"144",5,"dummy","cur",749,199,550,967,4
"145",5,"dummy","cur",457,407,608,1052,4
"146",5,"dummy","cur",140,557,448,902,4
"147",5,"dummy","cur",331,474,467,634,4
"148",5,"dummy","cur",134,322,589,1014,4
"149",5,"dummy","cur",916,438,585,787,4
"150",5,"dummy","cur",129,541,430,811,4
"151",5,"dummy","cur",496,559,477,820,4
"152",5,"dummy","cur",216,494,487,744,4
"153",5,"dummy","cur",302,582,464,860,4
"154",5,"dummy","cur",273,460,533,808,4
"155",5,"dummy","cur",694,467,566,685,4
"156",5,"dummy","cur",266,313,414,1095,4
"157",5,"dummy","cur",858,373,411,529,4
"158",5,"dummy","cur",536,616,508,924,4
"159",5,"dummy","cur",443,409,575,790,4
"160",5,"dummy","cur",466,537,509,771,4
"161",5,"dummy","cur",492,720,604,657,4
"162",5,"dummy","cur",18,326,471,670,4
"163",5,"dummy","cur",433,329,614,600,4
"164",5,"dummy","cur",423,668,372,610,4
"165",5,"dummy","cur",326,237,496,745,4
"166",5,"dummy","cur",387,461,452,1033,4
"167",5,"dummy","cur",423,692,461,973,4
"168",5,"dummy","cur",383,377,529,477,4
"169",5,"dummy","cur",390,618,546,559,4
"170",5,"dummy","cur",615,489,637,630,4
"171",5,"dummy","cur",125,450,482,673,4
"172",5,"dummy","cur",200,559,414,742,4
"173",5,"dummy","cur",436,246,421,547,4
"174",5,"dummy","cur",567,470,559,676,4
"175",5,"dummy","cur",333,409,626,815,4
"176",5,"dummy","cur",466,350,460,793,4
"177",5,"dummy","cur",454,713,560,875,4
"178",5,"dummy","cur",224,532,593,895,4
"179",5,"dummy","cur",499,466,472,910,4
"180",5,"dummy","cur",208,357,487,1064,4
