"week","ind","type","KLRG1","CD25","CCR8","Ki67","type2"
5,45,"cur",436,526,657,949,4
5,56,"cur",423,470,455,829,4
5,56,"cur",454,329,522,894,4
5,56,"cur",628,447,397,625,4
5,56,"cur",416,571,544,870,4
5,56,"cur",157,494,509,866,4
5,56,"cur",301,271,460,864,4
5,56,"cur",674,508,460,665,4
5,56,"cur",464,605,503,864,4
5,57,"cur",0,522,530,261,4
5,45,"ina",542,404,431,259,3
5,45,"ina",147,443,491,654,3
5,45,"ina",478,401,546,823,3
5,45,"ina",251,355,579,864,3
5,45,"ina",604,470,528,549,3
5,45,"ina",174,311,559,770,3
5,45,"ina",0,413,499,925,3
5,45,"ina",233,429,565,544,3
5,45,"ina",198,597,449,828,3
5,45,"ina",63,488,643,951,3
5,45,"ina",141,508,470,873,3
5,45,"ina",389,388,548,399,3
5,45,"ina",362,531,573,582,3
5,45,"ina",147,355,565,807,3
5,45,"ina",260,318,564,715,3
5,45,"ina",238,402,472,598,3
5,45,"ina",132,539,538,606,3
5,45,"ina",44,429,483,869,3
5,56,"ina",53,381,505,767,3
5,56,"ina",202,465,484,868,3
5,56,"ina",590,447,592,921,3
5,56,"ina",57,526,358,361,3
5,56,"ina",182,400,526,769,3
5,56,"ina",190,482,487,732,3
5,56,"ina",600,368,500,869,3
5,56,"ina",189,366,616,640,3
5,56,"ina",215,399,535,589,3
5,56,"ina",144,525,495,439,3
5,56,"ina",419,429,630,918,3
5,56,"ina",0,482,594,935,3
5,56,"ina",717,429,472,762,3
5,56,"ina",155,515,561,441,3
5,56,"ina",649,488,526,548,3
5,56,"ina",140,293,596,926,3
5,56,"ina",236,440,618,734,3
5,56,"ina",516,479,518,886,3
5,56,"ina",104,364,523,926,3
5,56,"ina",259,385,505,800,3
5,56,"ina",207,361,469,474,3
5,56,"ina",34,631,565,927,3
5,56,"ina",328,612,538,859,3
5,56,"ina",44,357,441,333,3
5,56,"ina",111,341,383,726,3
5,56,"ina",392,407,451,605,3
5,56,"ina",156,473,408,429,3
